"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/12/2021","AQS","180110001","1","0.039","ppm","36","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"02/13/2021","AQS","180110001","1","0.031","ppm","29","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"02/14/2021","AQS","180110001","1","0.026","ppm","24","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"02/15/2021","AQS","180110001","1","0.027","ppm","25","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"02/16/2021","AQS","180110001","1","0.024","ppm","22","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"02/17/2021","AQS","180110001","1","0.033","ppm","31","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"02/18/2021","AQS","180110001","1","0.037","ppm","34","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"02/19/2021","AQS","180110001","1","0.041","ppm","38","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"02/20/2021","AQS","180110001","1","0.045","ppm","42","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"02/21/2021","AQS","180110001","1","0.04","ppm","37","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
